frame_nmr,truck_id,truck_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
305,1.0,[661.0949802012904 8.142000521770683 1137.8008225033022 501.73255097131005],[912.6441650390625 375.998291015625 1025.6279296875 416.75469970703125],0.8981508612632751,BM9208*AO,0.4657323349860172
306,1.0,[661.5236271126287 9.664715320619791 1141.3813197396428 503.1427178024231],[915.977783203125 376.572998046875 1029.093505859375 417.8033447265625],0.8764928579330444,BH9208*AO],0.35592139193875133
307,1.0,[662.8254911305806 8.719861462321319 1145.934264671846 503.32497265033385],[919.227294921875 376.6961669921875 1031.796630859375 418.44970703125],0.8776585459709167,BH9208*A0,0.3521076700464391
308,1.0,[662.3505611902181 9.07260337085421 1148.560472409729 504.104997202987],[920.01953125 377.77557373046875 1033.1033935546875 419.3958740234375],0.8749740123748779,BII9208*A0,0.16962029203315332
309,1.0,[661.4286178514034 8.704893296215772 1150.4936660757126 504.3163930556626],[919.7930908203125 376.37164306640625 1034.8922119140625 417.83807373046875],0.8802589178085327,[BH9208AO],0.4141358193903578
310,1.0,[660.8133760888668 7.86179172019979 1151.8916688701818 504.8494368904953],[919.8092041015625 376.558837890625 1035.1619873046875 418.3720703125],0.878053605556488,BH9208AO],0.5235205676507689
311,1.0,[660.71215336869 8.576759062829865 1153.283583053025 506.6096042872924],[919.7835693359375 377.5457763671875 1034.044189453125 421.28515625],0.8889705538749695,BH9208AO],0.40085828323108813
312,1.0,[659.633536370772 9.067523267133566 1153.864685399087 508.10481395641875],[919.95361328125 378.8262939453125 1034.4617919921875 422.5521240234375],0.8889056444168091,BH9208*AO,0.36034677207087823
313,1.0,[658.8344519340858 9.518574319652458 1154.7508896035795 509.13838921380034],[920.4249267578125 378.731689453125 1035.404541015625 422.580322265625],0.8894528150558472,BH9208AO,0.49302222465875994
314,1.0,[658.6404393164772 10.188753747622684 1156.4716721171114 510.1212493852756],[922.467041015625 378.9471740722656 1037.919677734375 422.9910583496094],0.886242151260376,BH9208*A0],0.17421828334422212
315,1.0,[659.0822940027426 10.521893756065055 1160.2299260628126 510.5224908350508],[927.1007080078125 379.524658203125 1041.77294921875 422.5450439453125],0.892676830291748,BM9208*A0,0.4706236404979077
316,1.0,[659.617847499672 10.746176262736299 1164.648073711997 510.47853893237107],[927.6256103515625 377.4248962402344 1043.6334228515625 421.9330139160156],0.891250729560852,BM9208*A0|,0.34612472993285515
317,1.0,[659.2796384389612 9.9751155128383 1166.1106178449863 509.71965281467305],[927.3380126953125 377.4532470703125 1043.2188720703125 421.89581298828125],0.895408034324646,BH9208*A0,0.36498242157733957
318,1.0,[659.0031202773972 7.0225420333553075 1166.8463111537976 507.551700658854],[924.9423828125 375.4471130371094 1043.0771484375 418.5415954589844],0.8952116966247559,BH9208*AO,0.23214161352529963
319,1.0,[658.3768203415561 4.63881296476697 1167.5842473752173 505.68988461506217],[923.783203125 374.00616455078125 1042.682861328125 415.71075439453125],0.9166686534881592,BH9208AO],0.2125650679769083
320,1.0,[658.1843795964319 3.594918953754757 1169.1410787999116 504.4834003204039],[927.985107421875 371.9459228515625 1043.181640625 414.6502685546875],0.9194427132606506,BH9208*AO,0.26314525076599427
321,1.0,[657.5488311277843 4.898279576248569 1169.834481914789 504.2532643277353],[927.5693359375 370.75640869140625 1044.0303955078125 414.70709228515625],0.9194158911705017,BH9208AO,0.5438234180370306
322,1.0,[656.4350686016651 6.460618370432144 1170.1072567993242 504.3823548828369],[924.8980712890625 372.0830078125 1043.1588134765625 415.30596923828125],0.9183061122894287,BH9208AO,0.5663092374329922
323,1.0,[656.4949429725266 5.254875010164653 1171.8888557660848 503.7819931326503],[927.6351318359375 373.2815856933594 1045.8331298828125 416.2059631347656],0.9180946350097656,BH9208*A0],0.2871781532514927
324,1.0,[656.9953843192998 5.1636374787611885 1173.9133925227702 504.1200217342226],[928.78076171875 373.8699951171875 1047.965576171875 417.21533203125],0.9063166975975037,BM9208*AO],0.37163778669063047
325,1.0,[656.9072643759699 5.044613886644555 1175.2147554879616 504.5190250707735],[928.8592529296875 373.7442626953125 1048.6524658203125 417.7852783203125],0.8988305926322937,BH9208*AO],0.299356228219304
326,1.0,[656.029111324015 4.422098051503809 1175.6720998566757 505.33855258635435],[928.2353515625 373.9670715332031 1048.418701171875 420.2662658691406],0.9091269373893738,BH9208AO,0.49007708454116183
327,1.0,[655.4567202140188 4.432544947059711 1176.2452134569871 506.2682186611238],[928.71044921875 374.09954833984375 1049.716552734375 421.27850341796875],0.9070242047309875,BM9208AO,0.5712309360428136
328,1.0,[656.1588248630032 4.000878566143285 1178.270399444311 506.9370126325058],[929.9027099609375 374.0058288574219 1051.5673828125 421.7966613769531],0.9139004349708557,BM9208AO,0.47526989042101964
329,1.0,[655.5537379300876 4.481647988110183 1178.759796023141 507.98055767611703],[930.673095703125 374.16351318359375 1052.65234375 422.18121337890625],0.9167440533638,BM9208AO,0.2628101142044267
